sector_id,vendor,layer,bandwidth_mhz,mimo_config,antenna_tilt_mechanical,antenna_tilt_electrical,transmit_power_dbm,azimuth,latitude,longitude,dl_throughput_mbps,ul_throughput_mbps,prb_utilization_pct,connected_users_mean,rach_failure_rate_pct,handover_success_rate_pct,ta_mean,dl_payload_gb,cluster_id
SEC_000,Nokia,2100MHz,20,8x8,4.7018259269666505,14.397397771138936,41.49486767709976,64.03972465764843,31.304214638101676,48.631207162268,57.92776826592389,6.576128785731838,23.425660274476623,36,0.2647054995546189,99.76618589390617,2.6618612130432786,56.21784779864353,1
SEC_001,Ericsson,2100MHz,20,8x8,7.4427906559495565,7.1738294186388565,45.26453004136065,185.28610216371803,31.270040598218145,48.76691819051905,69.22088823474255,11.971180206277023,40.58310395117904,24,0.9357179835514793,97.70493117764042,4.069848849286616,128.08005241835565,3
SEC_002,Nokia,2600MHz,20,2x2,8.718327789731212,13.43721896057823,41.54229521770061,290.97915824013756,31.335494682964693,48.671666931334336,93.91887208574977,10.688924249169608,60.0161591122344,26,0.5152875772480657,98.57633541254623,4.124299773422978,92.73068998039076,1
SEC_003,Nokia,2100MHz,20,2x2,4.336553339563888,4.8332325516694254,43.806088046598596,91.37558813641014,31.351700376183278,48.782578488947316,44.66475634613172,7.234151418804817,26.151751893668084,25,0.23299658519318883,97.78366153879608,7.405138534195774,68.29994221356662,0
SEC_004,Ericsson,1800MHz,10,2x2,0.4366165770736119,1.8785035564924069,30.033661490814133,88.49067815021509,31.202925651775534,48.7131376344282,21.029347088104423,8.597328670537948,20.715078978694525,22,1.6788249342560173,99.27370309295989,2.8983460249586073,120.55142878785057,4
SEC_005,Ericsson,1800MHz,20,4x4,1.6167254414680265,7.115041648593208,41.48115399570551,144.99518344641066,31.241448459953777,48.636534476847935,63.053734908669654,9.95460979191709,28.38154235617632,34,1.3580228976898665,99.64791547298785,7.052701638143255,31.242079697831798,2
SEC_006,Nokia,1800MHz,15,2x2,0.208611392915381,1.7093495207147575,43.27340090984401,322.0714071279484,31.342647173616665,48.62791977347196,45.54654723019243,7.4676501485016225,62.94415558464772,15,1.0835002507689706,95.9210994964818,7.338331670521777,108.42652075416964,2
SEC_007,Huawei,2600MHz,15,8x8,6.532630192373301,7.290232544663099,30.648939800714903,0.15940131739483832,31.277324034526767,48.71529448751155,76.54939532883907,9.23157821789372,78.36762209938664,39,0.2696281500710809,97.18430018278563,4.2193207222569935,134.53867565613243,1
SEC_008,Nokia,2100MHz,20,2x2,3.323146253551089,13.804457718291117,43.94556363661169,324.4979147910966,31.33249678938832,48.75237672237249,47.338693426872545,2.905292723828155,78.98388197688922,29,0.10298223791085198,96.9619105046636,9.132560828188396,105.38630673588338,1
SEC_009,Nokia,1800MHz,20,8x8,5.424786357193675,7.811522127513191,34.107107652960735,55.3705288709788,31.26939253194691,48.75630112954843,29.66705750635598,12.134547970806217,49.638748948411276,34,0.8583976722638136,97.0260756164964,1.9989533252962959,84.80468659647751,1
SEC_010,Nokia,2600MHz,15,4x4,4.932768467837995,9.247495903426252,40.644673631648885,356.43109538429354,31.278151030465928,48.65515148088826,83.19562977501725,13.681455022368379,72.16113805954085,25,0.8067142414044702,95.62762090613938,1.8158651828952428,62.73454114571883,2
SEC_011,Nokia,2100MHz,15,8x8,0.815264895524267,2.3495765546071246,42.805678064374504,343.7449174938485,31.231735774737935,48.640849351782435,53.396885466701704,11.363091122495979,64.20958734509024,28,0.2087292006920273,99.0680786299036,4.857983419505364,132.47543906267524,2
SEC_012,Ericsson,2600MHz,10,8x8,4.032613611238318,0.6560343881995423,40.602632208949686,178.083068252862,31.25164620393323,48.60335126089848,65.41975103441703,16.792774383813338,50.0624142190762,37,0.05789047571263706,95.17883121507468,1.4982902319757048,127.82265572926903,0
SEC_013,Nokia,1800MHz,15,2x2,2.2056112492232325,1.6621194326971056,31.476556673172116,184.57928921254614,31.321082351501516,48.73583983024023,57.06658699793731,12.04628868279968,54.365631977305206,34,0.08415196449321787,97.64113303863579,6.096665293516787,80.63914507326936,4
SEC_014,Huawei,1800MHz,15,2x2,4.1839978866765275,8.977973635265485,39.5411443017659,173.35776249930754,31.28663262226303,48.61531365168671,29.39000678865041,13.42842891633268,28.233628797012265,31,30.662162202870068,82.30744666986783,4.58560419948482,81.44087459171416,2
SEC_015,Ericsson,1800MHz,20,8x8,2.0357828034224266,1.42517548488457,38.793338507554296,228.75971243742813,31.35486053658892,48.684152240353185,45.96495836175337,13.715088497530333,76.25968763699552,25,1.530552311224964,96.03734719029438,3.561362150823266,135.60301300679953,0
SEC_016,Huawei,2600MHz,15,2x2,8.404524062769335,5.639893349119671,44.405140289188346,32.659812804575175,31.370516990987667,48.720336432803656,75.58786814105525,1.7469599302430954,41.115786243906605,24,2.5508859006325837,99.52925096049398,1.7709358220111147,115.94839440365634,3
SEC_017,Huawei,2600MHz,10,4x4,1.7419333657825364,8.25137910687234,36.467835674307345,11.742461402963942,31.30832928364335,48.787421788983934,35.9641282769611,11.271019596248689,46.76895538743017,32,0.2169809818075487,99.19274603512396,2.8126309015937245,46.40246980867762,4
