sector_id,vendor,layer,bandwidth_mhz,mimo_config,antenna_tilt_mechanical,antenna_tilt_electrical,transmit_power_dbm,azimuth,latitude,longitude,dl_throughput_mbps,ul_throughput_mbps,prb_utilization_pct,connected_users_mean,rach_failure_rate_pct,handover_success_rate_pct,ta_mean,dl_payload_gb,cluster_id,dl_throughput_mbps_zscore,ul_throughput_mbps_zscore,prb_utilization_pct_zscore,connected_users_mean_zscore,rach_failure_rate_pct_zscore,handover_success_rate_pct_zscore,ta_mean_zscore,dl_payload_gb_zscore,max_abs_z,outlier_score,is_outlier,top_contributing_kpi,flag_silent_rach,neighbor_interference_surge,top_features
SEC_000,Nokia,2100MHz,20,8x8,4.7018259269666505,14.397397771138936,41.49486767709976,64.03972465764843,31.304214638101676,48.631207162268,57.92776826592389,6.576128785731838,23.425660274476623,36,0.2647054995546189,99.76618589390617,2.6618612130432786,56.21784779864353,1,0.15273776178630316,-1.0870292990439603,-0.7683636793107558,0.7142857142857143,-0.4044850247606811,1.0088127147204458,-0.5006724863585066,-1.3699720709725693,1.3699720709725693,0.1638265352625401,False,dl_payload_gb,False,False,
SEC_001,Ericsson,2100MHz,20,8x8,7.4427906559495565,7.1738294186388565,45.26453004136065,185.28610216371803,31.270040598218145,48.76691819051905,69.22088823474255,11.971180206277023,40.58310395117904,24,0.9357179835514793,97.70493117764042,4.069848849286616,128.08005241835565,3,0.6625028658356702,0.5937347041298981,-0.19803776523632027,-0.75,0.19131377867656404,0.11556413712762587,-0.2764130337531647,0.589969761373829,0.75,0.09534946489910949,False,connected_users_mean,False,False,
SEC_002,Nokia,2600MHz,20,2x2,8.718327789731212,13.43721896057823,41.54229521770061,290.97915824013756,31.335494682964693,48.671666931334336,93.91887208574977,10.688924249169608,60.0161591122344,26,0.5152875772480657,98.57633541254623,4.124299773422978,92.73068998039076,1,1.6744769722563773,0.08983170022112061,0.4321008329570693,-0.7142857142857143,-0.1490584753109375,0.4835199077839831,-0.1541817458369571,-0.3170554181865275,1.6744769722563773,0.20990087318569328,False,dl_throughput_mbps,False,False,
SEC_003,Nokia,2100MHz,20,2x2,4.336553339563888,4.8332325516694254,43.806088046598596,91.37558813641014,31.351700376183278,48.782578488947316,44.66475634613172,7.234151418804817,26.151751893668084,25,0.23299658519318883,97.78366153879608,7.405138534195774,68.29994221356662,0,-0.34728830998263704,-0.48770625848201793,-0.8012298335796011,-0.8333333333333334,-0.5075267437309428,0.2895526759101932,0.7294866423476476,-0.7365291077650172,0.8333333333333334,0.10278402491725178,False,connected_users_mean,False,False,
SEC_004,Ericsson,1800MHz,10,2x2,0.4366165770736119,1.8785035564924069,30.033661490814133,88.49067815021509,31.202925651775534,48.7131376344282,21.029347088104423,8.597328670537948,20.715078978694525,22,1.6788249342560173,99.27370309295989,2.8983460249586073,120.55142878785057,4,-1.4692040827505828,-0.19971987589972642,-1.1267457135757564,-1.1428571428571428,0.6107018134810318,0.5524734244702075,-0.44674159191553836,0.18173321396263367,1.4692040827505828,0.17787726343856722,False,dl_throughput_mbps,False,False,
SEC_005,Ericsson,1800MHz,20,4x4,1.6167254414680265,7.115041648593208,41.48115399570551,144.99518344641066,31.241448459953777,48.636534476847935,63.053734908669654,9.95460979191709,28.38154235617632,34,1.3580228976898665,99.64791547298785,7.052701638143255,31.242079697831798,2,0.35155190456739727,-0.08358579297655976,-0.7178234415488401,0.8,0.5098237467094182,0.7855737800753263,0.679639480485085,-1.6803004861559308,1.6803004861559308,0.21086829088776265,False,dl_payload_gb,False,False,
SEC_006,Nokia,1800MHz,15,2x2,0.208611392915381,1.7093495207147575,43.27340090984401,322.0714071279484,31.342647173616665,48.62791977347196,45.54654723019243,7.4676501485016225,62.94415558464772,15,1.0835002507689706,95.9210994964818,7.338331670521777,108.42652075416964,2,-0.24156838185308838,-0.7290432255552443,0.3864752223894445,-2.24,0.26071414501453577,-0.5403645649023205,0.7532162257384073,0.14083404471128055,2.24,0.3186462662109745,False,connected_users_mean,False,False,
SEC_007,Huawei,2600MHz,15,8x8,6.532630192373301,7.290232544663099,30.648939800714903,0.15940131739483832,31.277324034526767,48.71529448751155,76.54939532883907,9.23157821789372,78.36762209938664,39,0.2696281500710809,97.18430018278563,4.2193207222569935,134.53867565613243,1,0.9400784392561335,-0.3271824017174043,1.0341773491028314,1.1428571428571428,-0.3994672052616142,-0.13103301684872465,-0.13166874609903292,0.8885566817511337,1.1428571428571428,0.13503642292280238,False,connected_users_mean,False,False,
SEC_008,Nokia,2100MHz,20,2x2,3.323146253551089,13.804457718291117,43.94556363661169,324.4979147910966,31.33249678938832,48.75237672237249,47.338693426872545,2.905292723828155,78.98388197688922,29,0.10298223791085198,96.9619105046636,9.132560828188396,105.38630673588338,1,-0.29497872020473104,-2.137425272866408,1.054395660871595,-0.2857142857142857,-0.5693348618586108,-0.2292131664427284,1.0324090133265313,0.047893154340580626,2.137425272866408,0.2968016922098656,False,ul_throughput_mbps,False,False,
SEC_009,Nokia,1800MHz,20,8x8,5.424786357193675,7.811522127513191,34.107107652960735,55.3705288709788,31.26939253194691,48.75630112954843,29.66705750635598,12.134547970806217,49.638748948411276,34,0.8583976722638136,97.0260756164964,1.9989533252962959,84.80468659647751,1,-1.0421528393432524,0.5034915072139288,0.09163778854342038,0.42857142857142855,0.20068492396944165,-0.20088568140988958,-0.657733063907414,-0.5456166710032874,1.0421528393432524,0.12370022308461182,False,dl_throughput_mbps,False,False,
